tweeter_id,avatar_url,tw_time,tw_text,tw_replies,tw_retweets,tw_favorites
osayamwenoghosa,https://pbs.twimg.com/profile_images/1066048794171719680/KGuB6NR7_bigger.jpg,11:21 AM - 19 Nov 2018,"Did Nigeria meet the millennium development goals? The answer is no. But please don't believe what people post, the document is out there for you to read when you have the chance. I just downloaded it",0,0,0
woye1,https://pbs.twimg.com/profile_images/1008455268408201217/plBQww8h_bigger.jpg,11:13 AM - 19 Nov 2018,What is Millennium Development Goals and what is Sustainable Development Goals pls? I am asking for a friend that should update his policy document of 2019 - 2023 pls. I think United Nations Development Programs for technical advice. Edit that policy document pls,5,42,56
drdebodun,https://pbs.twimg.com/profile_images/1064018422705602560/Phz1p5xk_bigger.jpg,10:52 AM - 19 Nov 2018,"Who are the ignorant youths who worked with @atiku to produce this retrogressive document called #AtikuPlan ?

Millennium development goals has been replaced by Sustainable development goals na! https://twitter.com/MrAbuSidiq/status/1064476398469959681 …",0,0,1
ayo_david,https://pbs.twimg.com/profile_images/1002494827009921025/GbL9JiHi_bigger.jpg,10:44 AM - 19 Nov 2018,Misleading. It's talking about Human development index. Not MDGs as per millennium development goals. Nigerians please read for yourselves. Don't let anyone mislead you with false narratives. The plan carefully talks about SDGs separately. #theatikuplan,0,3,10
daylalalal,https://pbs.twimg.com/profile_images/1039757724773437441/P6EDw4r3_bigger.jpg,10:21 AM - 19 Nov 2018,"To combat this global sanitation crisis we need to:

- Emphasize Millennium Development Goals

- Governments should be held accountable for sanitation promises

- & we need greater education initiatives, incl. hygiene promotion & menstrual hygiene curriculums

#WorldToiletDaypic.twitter.com/jeEvdxPrv7",1,1,2
kbremote,https://pbs.twimg.com/profile_images/378800000485885379/c65d75fa67983498eba3a5bc05a3acfe_bigger.jpeg,7:38 PM - 18 Nov 2018,This has been a common thread/ idea for decades. Fighting it and preparing for it were a big part of the UN millennium development goals.,0,0,0
globalpeacef1,https://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png,6:54 PM - 18 Nov 2018,Advocate and contribute to the achievement of the United Nations’ Millennium Development Goals. http://bit.ly/VgToM0 ,0,0,0
DrIkramulHaq,https://pbs.twimg.com/profile_images/429626162768130049/Pn73fhpH_bigger.jpeg,5:37 AM - 18 Nov 2018,"With the current speed of progress on the sanitation system, Pakistan’s targets under Millennium Development Goals (MDGs) will be met by 2028. Widening rich-poor gap http://tns.thenews.com.pk/widening-rich-poor-gap/ … via @TheNewsonSunday",0,1,1
Valdemort18,https://pbs.twimg.com/profile_images/826658537585725441/KIxsHrGi_bigger.jpg,3:21 AM - 18 Nov 2018,"But progress is possible. Look at the UN Millennium Development Goals, specifically the 2015 report. We made lots of advancements on those. If we improve quality of life for everyone, conflict dies down.",0,0,0
suleimanhuzzein,https://pbs.twimg.com/profile_images/1064127184833585152/Fg7gZmjH_bigger.jpg,8:47 PM - 17 Nov 2018,"Under the Vision, Kenya expected to meet its Millennium Development Goals (MDGs) by the deadline in 2015, although this
has not been achieved, and they are busy campaigning for 2022 and 2027 instead of the vision.",0,0,0
BrookingsGlobal,https://pbs.twimg.com/profile_images/1052232274937307137/4i3moXWC_bigger.jpg,3:30 PM - 17 Nov 2018,"Despite global progress in poverty reduction, health, education, & the economy, fragile states are poised to be left behind by the Sustainable Development Goals in the same way they were left behind by the Millennium Development Goals https://brook.gs/2B5kyRn ",0,1,0
